09-RZ-B-Adlershof 1952-1966
09-RZ-B-Adlershof Gebäudeeigentümer
09-RZ-B-Altgienicke Abschluß 1939
09-RZ-B-Altglienicke 1945-1957
09-RZ-B-Altglienicke 1952-1957
09-RZ-B-Altglienicke 1958-1966
09-RZ-B-Bohnsdorf 1945-1959
09-RZ-B-Bohnsdorf 1960-1966
09-RZ-B-Fahlenberg 1866-1884
09-RZ-B-Fahlenberg 1913-1971
09-RZ-B-Friedrichshagen 1909-1913
09-RZ-B-Friedrichshagen 1916-1922
09-RZ-B-Friedrichshagen 1923-1928
09-RZ-B-Friedrichshagen 1929-1935
09-RZ-B-Friedrichshagen 1936-1940
09-RZ-B-Glienicke 1935-1936
09-RZ-B-Glienicke 1935-1945
09-RZ-B-Glienicke 1937-1939
09-RZ-B-Glienicke 1940-1941
09-RZ-B-Glienicke 1941-1944
09-RZ-B-Glienicke 1945-1949
09-RZ-B-Grünau 1901-1909
09-RZ-B-Grünau 1910-1921
09-RZ-B-Grünau 1922-1928
09-RZ-B-Grünau 1929-1934
09-RZ-B-Grünau 1935-1939
09-RZ-B-Grünau 1940-1954
09-RZ-B-Grünau 1955-1971
09-RZ-B-Johannisthal 1901-1909
09-RZ-B-Johannisthal 1910-1921
09-RZ-B-Johannisthal 1922-1929
09-RZ-B-Johannisthal 1930-1937
09-RZ-B-Johannisthal 1938-1942
09-RZ-B-Johannisthal 1945-1957
09-RZ-B-Johannisthal 1958-1966
09-RZ-B-Johannisthal Gebäudeeigentümer
09-RZ-B-Johannisthal Gebäudeeigentümer Band 1
09-RZ-B-Johannisthal Gebäudeeigentümer Band 2
09-RZ-B-Johannisthal Gebäudeeigentümer Band 3
09-RZ-B-Johannisthal Gebäudeeigentümer Band 4
09-RZ-B-Johannisthal Gebäudeeigentümer Band 5
09-RZ-B-Johannisthal Neuvermessung
09-RZ-B-Kanne 1900-1915
09-RZ-B-Kanne 1925-1930
09-RZ-B-Kanne Adlershof 1900-1903
09-RZ-B-Kanne Adlershof 1904-1928
09-RZ-B-Kanne Adlershof 1906-1909
09-RZ-B-Kanne Adlershof 1929-1937
09-RZ-B-Kanne Adlershof 1938-1944
09-RZ-B-Kanne Adlershof 1947-1966
09-RZ-B-Kanne Grünau Dahmer Forst 1900-1903
09-RZ-B-Kanne Grünau Dahmer Forst 1904-1909
09-RZ-B-Kanne Grünau Dahmer Forst 1910-1921
09-RZ-B-Kanne Grünau Dahmer Forst 1939-1970
09-RZ-B-Kanne Johannisthal 1916-1924
09-RZ-B-Kanne Niederschöneweide 1901-1909
09-RZ-B-Kanne Niederschöneweide 1910-1929
09-RZ-B-Kanne Niederschöneweide 1930-1939
09-RZ-B-Kanne Niederschöneweide 1940
09-RZ-B-Köpenick 1903
09-RZ-B-Köpenick 1904-1905
09-RZ-B-Köpenick 1906-1907
09-RZ-B-Köpenick 1908
09-RZ-B-Köpenick 1909-1910
09-RZ-B-Köpenick 1911-1912
09-RZ-B-Köpenick 1913-1914
09-RZ-B-Köpenick 1915-1918
09-RZ-B-Köpenick 1919-1921
09-RZ-B-Köpenick 1922-1923
09-RZ-B-Köpenick 1924-1925
09-RZ-B-Köpenick 1926-1927
09-RZ-B-Köpenick 1928
09-RZ-B-Köpenick 1930
09-RZ-B-Köpenick 1931
09-RZ-B-Köpenick 1932
09-RZ-B-Köpenick 1933
09-RZ-B-Köpenick 1934-1935
09-RZ-B-Köpenick 1936-1937
09-RZ-B-Köpenick 1938
09-RZ-B-Köpenick 1939-1940
09-RZ-B-Köpenick 1940-1943
09-RZ-B-Köpenick 1944-1953
09-RZ-B-Köpenick 1954-1956
09-RZ-B-Köpenick 1957-1959
09-RZ-B-Köpenick 1960-1963
09-RZ-B-Köpenick 1963-1970
09-RZ-B-Köpenick Forst 1911-1918
09-RZ-B-Köpenick Forst 1926-1933
09-RZ-B-Köpenick Forst 1959-1970
09-RZ-B-Müggelheim 1934-1938
09-RZ-B-Neuvermessung Johannisthal
09-RZ-B-Neuvermessung Johannisthal 1
09-RZ-B-Niederschöneweide 1950-1966
09-RZ-B-Niederschöneweide Gebäudeeigentümer Band 1
09-RZ-B-Niederschöneweide Gebäudeeigentümer Band 2
09-RZ-B-Niederschöneweide Gebäudeeigentümer Band 3
09-RZ-B-Niederschöneweide Namensverzeichnis
09-RZ-B-Rahnsdorf 1929-1940
09-RZ-B-Schmöckwitz 1911-1918
09-RZ-B-Schmöckwitz 1919-1925
09-RZ-B-Schmöckwitz 1926-1930
09-RZ-B-Schmöckwitz 1931-1937
09-RZ-B-Schmöckwitz 1938-1950
09-RZ-B-Schmöckwitz 1951-1971
09-RZ-B-Schmöckwitz Band 2  1782-1903
09-RZ-B-Schmöckwitzwerder 1901-1936
09-RZ-B-Schmöckwitzwerder 1937-1970
09-RZ-B-Treptow Artikel 1-304
09-RZ-B-Treptow Artikel 305-605
09-RZ-B-Treptow Artikel 606-932
09-RZ-B-Treptow Gebäudebuch 1
09-RZ-B-Treptow Gebäudebuch 2
09-RZ-B-Treptow Gebäudebuch 3
09-RZ-B-Treptow Gebäudebuch 4
09-RZ-B-Treptow Mutterrollenartikel
09-RZ-B-Treptow Namensverzeichnis
09-RZ-B-Wilhelminenhof Oberschöneweide 1901-1907
09-RZ-B-Wilhelminenhof Oberschöneweide 1908-1912
09-RZ-B-Wilhelminenhof Oberschöneweide 1913-1927
09-RZ-B-Wilhelminenhof Oberschöneweide 1928-1935
09-RZ-B-Wilhelminenhof Oberschöneweide 1936-1959
09-RZ-B-Wilhelminenhof Oberschöneweide 1960-1970
